aabbbabbabaabaa aabaaaabbabaabb
aabaaaabbabaabb aaaabbababbabba
aaaabbababbabba ababababbbbbbba
ababababbbbbbba aaabbbabbbbabba
aaabbbabbbbabba abaaabbabbbaabb
abaaabbabbbaabb aabaababaaabaab
aabaababaaabaab aabbaabaaabaabb
aabbaabaaabaabb aabaabababababa
aabaabababababa aabababaaaabaab
aabababaaaabaab aabaaaaabaabaaa
aabaaaaabaabaaa aababbaabbbbabb
aababbaabbbbabb aaabbbaabaaabba
aaabbbaabaaabba abaaabbbabbbaaa
abaaabbbabbbaaa aabaabbaaabbbab
aabaabbaaabbbab aaabbbabababbaa
aaabbbabababbaa aabbababbbababa
aabbababbbababa aaababaaabbbabb
aaababaaabbbabb aabbabaaabbaaba
aabbabaaabbaaba aabaabbbbbabbbb
aabaabbbbbabbbb aabbbbbbbaabaaa
aabbbbbbbaabaaa aaaabbbabbababa
aaaabbbabbababa aaaaaaaababaaab
aaaaaaaababaaab aaaaabababbaabb
aaaaabababbaabb aaaabbbbabbbbba
aaaabbbbabbbbba ababbbaaabbbbba
ababbbaaabbbbba aabbbabbbbaaaab
aabbbabbbbaaaab aaabaaabbababaa
aaabaaabbababaa aabaabaaabbaaba
aabaabaaabbaaba aabbaababbbbbaa
aabbaababbbbbaa abaabaaaaaabbbb
abaabaaaaaabbbb aaababbababaaab
aaababbababaaab ababbbabaaabbab
ababbbabaaabbab aabaababbbaaabb
aabaababbbaaabb aabbaaabaaaaabb
aabbaaabaaaaabb abababaaaababab
abababaaaababab aaabbbabaabbbab
aaabbbabaabbbab aababbaabaabbbb
aababbaabaabbbb aaabbaaabababba
aaabbaaabababba aabbbbbaaaabaaa
aabbbbbaaaabaaa aaabaabbbaabaab
aaabaabbbaabaab aabbbabbbaabaaa
aabbbabbbaabaaa aaaabababbabbba
aaaabababbabbba aabbbbbbaababab
aabbbbbbaababab aababbbaaaabaab
aababbbaaaabaab aabbbabbbabaabb
aabbbabbbabaabb aabaabbaababaab
aabaabbaababaab aaaababbababbaa
aaaababbababbaa aaaaaababbbabbb
aaaaaababbbabbb abaaabbbaabbbba
abaaabbbaabbbba aabaabbaabababb
aabaabbaabababb aabbabaaaaaabab
aabbabaaaaaabab aabaabbabbaaaaa
aabaabbabbaaaaa aaabbbbabbbaaaa
aaabbbbabbbaaaa aaabbabbabababa
aaabbabbabababa aabababbbabbbba
aabababbbabbbba aaaabaabababbab
aaaabaabababbab aaaabbbbbabbaba
aaaabbbbbabbaba aabbabaabaabaab
aabbabaabaabaab abaaaabaabbbbab
abaaaabaabbbbab aabbaabbabaabaa
aabbaabbabaabaa abaabbbbbaaabab
abaabbbbbaaabab aabbabbaababaab
aabbabbaababaab ababbaabaaaaabb
ababbaabaaaaabb aaabaaabbaabbbb
aaabaaabbaabbbb aabbbaaabbaaaab
aabbbaaabbaaaab aaaaaabaaabbaaa
aaaaaabaaabbaaa ababaaabbbaaaab
ababaaabbbaaaab aabaababababbab
aabaababababbab aaabbaaaaaabaab
aaabbaaaaaabaab aaabbbaaaabbbbb
aaabbbaaaabbbbb aaaaabaaaaabbab
aaaaabaaaaabbab aaabbabbaababaa
aaabbabbaababaa aaaaabbaaaabbaa
aaaaabbaaaabbaa aababbbbbbbbbbb
aababbbbbbbbbbb aababbbbbaabbab
aababbbbbaabbab aaabbbbaabbbbaa
aaabbbbaabbbbaa abaaabababbabbb
abaaabababbabbb aababaaaaabbaaa
aababaaaaabbaaa aaaabaabbbbbbaa
aaaabaabbbbbbaa ababbabaaaaabab
ababbabaaaaabab ababaaabaaaabba
ababaaabaaaabba aaaaabaababaaba
aaaaabaababaaba ababbbaaaababab
ababbbaaaababab aabbbbaababbbbb
aabbbbaababbbbb abaaabbaaaaabaa
abaaabbaaaaabaa aaabaabbaababab
aaabaabbaababab aaababbbabbabba
aaababbbabbabba aabbaaabababbba
aabbaaabababbba aabbbbbabbbaaaa
aabbbbbabbbaaaa aabaaaabaababbb
aabaaaabaababbb aabaabaaaaababa
aabaabaaaaababa abaaabbaaabbaab
abaaabbaaabbaab aaaaabababbbbaa
aaaaabababbbbaa abaabaabaaaabaa
abaabaabaaaabaa aababbababbbabb
aababbababbbabb aabbbbaabbabbaa
aabbbbaabbabbaa aabaabbaaabaaaa
aabaabbaaabaaaa aabaaabbbbaaabb
aabaaabbbbaaabb aaaabbabababbab
aaaabbabababbab aababaabbbabbba
aababaabbbabbba aabbaababbbbbbb
aabbaababbbbbbb aabaabaabbaaabb
aabaabaabbaaabb aababbaaabbbabb
aababbaaabbbabb aaabbabaaabaaba
aaabbabaaabaaba abaaaabbaaaaaba
abaaaabbaaaaaba aaaabbabababbba
aaaabbabababbba aaaabababaaabba
aaaabababaaabba aabbaaaabaaaaaa
aabbaaaabaaaaaa aaabbabbbabbabb
aaabbabbbabbabb aababbbababbbaa
aababbbababbbaa aaaaabbbaaaaaba
aaaaabbbaaaaaba abaaaabbabbbbab
abaaaabbabbbbab aaabbbabbabaaaa
aaabbbabbabaaaa aaabaabbabbabab
aaabaabbabbabab aababbabbabbbbb
aababbabbabbbbb aabaaaaaaaaabaa
aabaaaaaaaaabaa aabaaaababbabba
aabaaaababbabba aaabaabaabababb
aaabaabaabababb abaababaaabbbba
abaababaaabbbba aaababbbbbbbbab
aaababbbbbbbbab aababababbbaaaa
aababababbbaaaa aabababbbababaa
aabababbbababaa ababbbabbaabbbb
ababbbabbaabbbb aaabbabbbabaaaa
aaabbabbbabaaaa aabaaaabbbabbbb
aabaaaabbbabbbb abaaaaabbabaaab
abaaaaabbabaaab ababbbababbaabb
ababbbababbaabb aaabbbbabbbbaab
aaabbbbabbbbaab abaabaaaaababbb
abaabaaaaababbb aaabbaabbabbbab
aaabbaabbabbbab ababbaaabbbbaaa
ababbaaabbbbaaa aaaaababaabbbab
aaaaababaabbbab aaaababbabaaaab
aaaababbabaaaab aaaaabbabbbabba
aaaaabbabbbabba abaaaaabbabbbba
abaaaaabbabbbba aaaabaababbbbab
aaaabaababbbbab abaaaaaabbbbaab
abaaaaaabbbbaab aababbababbbbab
aababbababbbbab aaababaabaababb
aaababaabaababb aaaababaabbbaab
aaaababaabbbaab abaabababbabbba
abaabababbabbba aabbbbabbabbaaa
aabbbbabbabbaaa aabaaabaaaabaaa
aabaaabaaaabaaa abaaabababbbabb
abaaabababbbabb aabbbbbaaabbbaa
aabbbbbaaabbbaa aaababbaaaabbba
aaababbaaaabbba aaabbaaabbbaabb
aaabbaaabbbaabb abaabaabaabaabb
abaabaabaabaabb aaaaaabbabbaabb
aaaaaabbabbaabb aaaababaabbbabb
aaaababaabbbabb aaabaabaabaaaba
aaabaabaabaaaba aaaaababbaaabaa
aaaaababbaaabaa abaabbaabababba
abaabbaabababba ababaababaabbaa
ababaababaabbaa aababbbbabbbbab
aababbbbabbbbab aababbbbbaaaaba
aababbbbbaaaaba abaaabbbabaabaa
abaaabbbabaabaa abaaaabaaaabaab
abaaaabaaaabaab abaaabbbbbbaabb
abaaabbbbbbaabb ababbabaabbabaa
ababbabaabbabaa aabbaaaabaabbbb
aabbaaaabaabbbb aaaababbabbbaba
aaaababbabbbaba aabbbbbaababaaa
aabbbbbaababaaa abaaabbabaaaaaa
abaaabbabaaaaaa aabbbaababbbaab
aabbbaababbbaab abaaabbaaaabbab
